所在地,営業時間,定休日,TEL,店舗名,郵便番号,緯度,経度,IDg,cont_no,URL
岐阜県郡上市大和町徳永648-1,AM9:00〜PM9:00,1月1日のみ,0575-88-5510,ゲンキー大和徳永店,501-4607,35.8073599,136.9021993,3,423,http://www.genky.co.jp/shop/cont.php?cont_no=423&g=3&ar=&page=4
岐阜県本巣市政田字上市場1504,AM9:00〜PM9:00,1月1日のみ,058-260-5110,ゲンキー真正店,501-0471,35.4288389,136.6470966,3,426,http://www.genky.co.jp/shop/cont.php?cont_no=426&g=3&ar=&page=4
岐阜県山県市岩佐1385番,AM9:00〜PM9:00,1月1日のみ,0581-52-1710,ゲンキー岩佐店,501-2259,35.543419,136.792395,3,428,http://www.genky.co.jp/shop/cont.php?cont_no=428&g=3&ar=&page=4
岐阜県山県市大森302-2,AM9:00〜PM9:00,1月1日のみ,0581-36-0050,ゲンキー伊自良南店,501-2123,35.5232399,136.7339174,3,431,http://www.genky.co.jp/shop/cont.php?cont_no=431&g=3&ar=&page=4
岐阜県羽島市福寿町間島7丁目4番,AM9:00〜PM9:00,1月1日のみ,058-201-7540,ゲンキー間島店,501-6251,35.3309902,136.696418,3,432,http://www.genky.co.jp/shop/cont.php?cont_no=432&g=3&ar=&page=4
岐阜県揖斐郡揖斐川町谷汲名礼244-126,AM9:00〜PM9:00,1月1日のみ,0585-56-3880,ゲンキー谷汲店,501-1314,35.5244902,136.6109247,3,433,http://www.genky.co.jp/shop/cont.php?cont_no=433&g=3&ar=&page=5
岐阜県恵那市明智町839−5,AM9:00〜PM9:00,1月1日のみ,0573-54-2078,ゲンキー明智店,509-7731,35.3020287,137.3876642,3,436,http://www.genky.co.jp/shop/cont.php?cont_no=436&g=3&ar=&page=5
岐阜県加茂郡白川町三川902番,AM9:00〜PM9:00,1月1日のみ,0574-72-2627,ゲンキー加茂白川店,509-1113,35.5683786,137.2231966,3,437,http://www.genky.co.jp/shop/cont.php?cont_no=437&g=3&ar=&page=5
岐阜県恵那市長島町中野1187,AM9:00〜PM9:00,1月1日のみ,0573-59-4680,ゲンキー恵那インター北店,509-7205,35.4590382,137.3899856,3,443,http://www.genky.co.jp/shop/cont.php?cont_no=443&g=3&ar=&page=5
岐阜県可児市今渡682-4,AM9:00〜PM9:00,1月1日のみ,0574-66-7470,ゲンキー今渡店,509-0207,35.4278776,137.0393095,3,444,http://www.genky.co.jp/shop/cont.php?cont_no=444&g=3&ar=&page=5
岐阜県関市洞戸通元寺261,AM9:00〜PM9:00,1月1日のみ,0581-58-2220,ゲンキー洞戸店,501-2802,35.6082803,136.8197169,3,445,http://www.genky.co.jp/shop/cont.php?cont_no=445&g=3&ar=&page=5
岐阜県可児市広見1341番,AM9:00〜PM9:00,1月1日のみ,0574-42-9370,ゲンキー広見伊川店,509-0214,35.417669,137.0695595,3,448,http://www.genky.co.jp/shop/cont.php?cont_no=448&g=3&ar=&page=5
岐阜県各務原市鵜沼各務原町六丁目42-1,AM9:00〜PM9:00,1月1日のみ,058-372-9830,ゲンキーにんじん通り店,509-0141,35.3997401,136.9080752,3,449,http://www.genky.co.jp/shop/cont.php?cont_no=449&g=3&ar=&page=5
岐阜県大垣市浅草三丁目86番1,AM9:00〜PM9:00,1月1日のみ,0584-84-8655,ゲンキー大垣インター南店,503-0947,35.3096356,136.6161853,3,450,http://www.genky.co.jp/shop/cont.php?cont_no=450&g=3&ar=&page=5
岐阜県各務原市鵜沼東町五丁目50番2,AM9:00〜PM9:00,1月1日のみ,058-372-5850,ゲンキー鵜沼東店,509-0126,35.4024547,136.9421639,3,455,http://www.genky.co.jp/shop/cont.php?cont_no=455&g=3&ar=&page=5
岐阜県高山市上岡本町四丁目490番,AM9:00〜PM9:00,1月1日のみ,0577-57-7630,ゲンキー上岡本松倉店,506-0055,36.1403015,137.2413245,3,457,http://www.genky.co.jp/shop/cont.php?cont_no=457&g=3&ar=&page=5
岐阜県高山市岡本町四丁目375番,AM9:00〜PM9:00,1月1日のみ,0577-57-5720,ゲンキー岡本店,506-0054,36.1522036,137.2470765,3,460,http://www.genky.co.jp/shop/cont.php?cont_no=460&g=3&ar=&page=5
岐阜県高山市久々野町久々野字中島2485番,AM9:00〜PM9:00,1月1日のみ,0577-52-2555,ゲンキー久々野店,509-3205,36.052669,137.28159,3,462,http://www.genky.co.jp/shop/cont.php?cont_no=462&g=3&ar=&page=5
岐阜県関市西本郷通6丁目6番47号,AM9:00〜PM9:00,1月1日のみ,0575-29-7800,ゲンキー西本郷店,501-3803,35.4908855,136.9214933,3,464,http://www.genky.co.jp/shop/cont.php?cont_no=464&g=3&ar=&page=5
岐阜県恵那市大井町422番,AM9:00〜PM9:00,1月1日のみ,0573-59-4720,ゲンキー恵那大井店,509-7201,35.465944,137.403056,3,469,http://www.genky.co.jp/shop/cont.php?cont_no=469&g=3&ar=&page=5
岐阜県山県市高富2338番1,AM9:00〜PM9:00,1月1日のみ,0581-32-9570,ゲンキー高富店,501-2105,35.503028,136.786583,3,481,http://www.genky.co.jp/shop/cont.php?cont_no=481&g=3&ar=&page=5
岐阜県可児市菅刈1076番地,AM9:00〜PM9:00,1月1日のみ,0574-66-6380,ゲンキー菅刈店,509-0262,35.406,137.003722,3,482,http://www.genky.co.jp/shop/cont.php?cont_no=482&g=3&ar=&page=5
岐阜県羽島市福寿町平方85番地,AM9:00〜PM9:00,1月1日のみ,0583-22-8630,ゲンキー福寿平方店,501-6257,35.319694,136.678861,3,483,http://www.genky.co.jp/shop/cont.php?cont_no=483&g=3&ar=&page=5
岐阜県瑞穂市牛牧字宮下309-2,AM9:00〜PM9:00,1月1日のみ,058-260-8110,ゲンキー牛牧店,501-0234,35.378861,136.668389,3,488,http://www.genky.co.jp/shop/cont.php?cont_no=488&g=3&ar=&page=5
岐阜県安八郡安八町森部1558番2,AM9:00〜PM9:00,1月1日のみ,0584-84-7220,ゲンキー安八店,503-0114,35.333667,136.675806,3,491,http://www.genky.co.jp/shop/cont.php?cont_no=491&g=3&ar=&page=5
愛知県知多郡東浦町大字森岡字前田55-1,AM9:00〜PM9:00,1月1日のみ,0562-82-3390,ゲンキー東浦店,470-2101,34.992706,136.9686409,4,108,http://www.genky.co.jp/shop/cont.php?cont_no=108&g=4&ar=&page=0
愛知県犬山市大字五郎丸字稲葉組36-1,AM9:00〜PM9:00,1月1日のみ,0568-63-2900,ゲンキー犬山五郎丸店,484-0066,35.3607312,136.9456794,4,135,http://www.genky.co.jp/shop/cont.php?cont_no=135&g=4&ar=&page=0
愛知県名古屋市中川区富船町3丁目1-1,AM9:00〜PM9:00,1月1日のみ,052-365-1470,ゲンキー富船店,454-0823,35.1441543,136.8747826,4,139,http://www.genky.co.jp/shop/cont.php?cont_no=139&g=4&ar=&page=0
愛知県半田市のぞみが丘二丁目210番地,AM9:00〜PM9:00,1月1日のみ,0569-20-0660,ゲンキーのぞみが丘店,475-0019,34.9272349,136.9572237,4,143,http://www.genky.co.jp/shop/cont.php?cont_no=143&g=4&ar=&page=0
愛知県名古屋市中川区玉川町1丁目1番地,AM9:00〜PM9:00,1月1日のみ,052-659-1620,ゲンキー中川玉川店,454-0058,35.123602,136.8781257,4,146,http://www.genky.co.jp/shop/cont.php?cont_no=146&g=4&ar=&page=0
愛知県碧南市塩浜町2丁目34番1,AM9:00〜PM9:00,1月1日のみ,0566-45-2370,ゲンキー碧南店,447-0841,34.869149,136.985524,4,150,http://www.genky.co.jp/shop/cont.php?cont_no=150&g=4&ar=&page=0
愛知県稲沢市西町3-165-1,AM9:00〜PM9:00,1月1日のみ,0587-34-5590,ゲンキー稲沢西店,492-8218,35.2506105,136.7827764,4,179,http://www.genky.co.jp/shop/cont.php?cont_no=179&g=4&ar=&page=0
愛知県刈谷市小垣江町下広6番1,AM9:00〜PM9:00,1月1日のみ,0566-91-3280,ゲンキー小垣江下広店,448-0813,34.967344,137.000885,4,187,http://www.genky.co.jp/shop/cont.php?cont_no=187&g=4&ar=&page=0
愛知県一宮市今伊勢町本神戸字宮山1-2,AM9:00〜PM9:00,1月1日のみ,0586-26-2170,ゲンキー今伊勢店,491-0053,35.3152826,136.79408,4,189,http://www.genky.co.jp/shop/cont.php?cont_no=189&g=4&ar=&page=0
愛知県西尾市徳永町東側34番1,AM9:00〜PM9:00,1月1日のみ,0563-65-5610,ゲンキー徳永店,444-0315,34.8415242,137.0215226,4,197,http://www.genky.co.jp/shop/cont.php?cont_no=197&g=4&ar=&page=0
愛知県高浜市八幡町2丁目3-48,AM9:00〜PM9:00,1月1日のみ,0566-93-3150,ゲンキー吉浜八幡店,444-1302,34.9517932,136.9970627,4,200,http://www.genky.co.jp/shop/cont.php?cont_no=200&g=4&ar=&page=0
愛知県高浜市田戸町4丁目3-10,AM9:00〜PM9:00,1月1日のみ,0566-91-0350,ゲンキー田戸店,444-1323,34.9116484,136.9895397,4,202,http://www.genky.co.jp/shop/cont.php?cont_no=202&g=4&ar=&page=0
愛知県西尾市一色町味浜上長割47-1,AM9:00〜PM9:00,1月1日のみ,0563-79-5530,ゲンキー一色南部店,444-0422,34.8080051,137.0200019,4,303,http://www.genky.co.jp/shop/cont.php?cont_no=303&g=4&ar=&page=0
愛知県半田市成岩東町36番地,AM9:00〜PM9:00,1月1日のみ,0569-89-6530,ゲンキー成岩東町店,475-0845,34.8809042,136.9254569,4,304,http://www.genky.co.jp/shop/cont.php?cont_no=304&g=4&ar=&page=0
愛知県碧南市二本木町2丁目47番地,AM9:00〜PM9:00,1月1日のみ,0566-45-6750,ゲンキー二本木店,447-0029,34.8920975,137.0112735,4,305,http://www.genky.co.jp/shop/cont.php?cont_no=305&g=4&ar=&page=0
愛知県西尾市平坂町空町22番地,AM9:00〜PM9:00,1月1日のみ,0563-79-5160,ゲンキー平坂橋南店,444-0305,34.8607558,137.0140931,4,306,http://www.genky.co.jp/shop/cont.php?cont_no=306&g=4&ar=&page=0
愛知県常滑市熊野町4丁目50番地,AM9:00〜PM9:00,1月1日のみ,0569-89-2750,ゲンキー熊野店,479-0817,34.8613214,136.8579441,4,308,http://www.genky.co.jp/shop/cont.php?cont_no=308&g=4&ar=&page=0
愛知県知多郡南知多町内海字西浜田34番地,AM9:00〜PM9:00,1月1日のみ,0569-47-8130,ゲンキー内海店,470-3321,34.7386005,136.8694755,4,326,http://www.genky.co.jp/shop/cont.php?cont_no=326&g=4&ar=&page=0
愛知県小牧市大字二重堀字中田1036番1,AM9:00〜PM9:00,1月1日のみ,0568-54-1260,ゲンキー二重堀店,485-0021,35.2892696,136.9400049,4,330,http://www.genky.co.jp/shop/cont.php?cont_no=330&g=4&ar=&page=0
愛知県常滑市瀬木町4丁目35番地,AM9:00〜PM9:00,1月1日のみ,0569-47-5370,ゲンキー常滑東店,479-0821,34.889279,136.8501872,4,331,http://www.genky.co.jp/shop/cont.php?cont_no=331&g=4&ar=&page=0
愛知県知多郡阿久比町大字宮津字宮家下28番1,AM9:00〜PM9:00,1月1日のみ,0569-47-5720,ゲンキー蟹田橋店,910-0845,34.9280906,136.9260457,4,332,http://www.genky.co.jp/shop/cont.php?cont_no=332&g=4&ar=&page=1
愛知県一宮市小信中島字新田前13番2,AM9:00〜PM9:00,1月1日のみ,0586-64-6930,ゲンキー小信中島店,494-0007,35.3157412,136.7488687,4,338,http://www.genky.co.jp/shop/cont.php?cont_no=338&g=4&ar=&page=1
愛知県犬山市西北野201番地1,AM9:00〜PM9:00,1月1日のみ,0568−68−9380,ゲンキー西北野店,484-0905,35.3340066,136.9478111,4,341,http://www.genky.co.jp/shop/cont.php?cont_no=341&g=4&ar=&page=1
愛知県西尾市米津町野寺道13番地,AM9:00〜PM9:00,1月1日のみ,0563−65−5930,ゲンキー米津橋東店,445-0802,34.8913713,137.0634552,4,342,http://www.genky.co.jp/shop/cont.php?cont_no=342&g=4&ar=&page=1
愛知県知多郡武豊町冨貴字篭田97番地,AM9:00〜PM9:00,1月1日のみ,0569-47-9490,ゲンキー冨貴店,470-2531,34.8216384,136.9200925,4,348,http://www.genky.co.jp/shop/cont.php?cont_no=348&g=4&ar=&page=1
愛知県東海市荒尾町若宮36番地,AM9:00〜PM9:00,1月1日のみ,052-883-9200,ゲンキー若宮店,476-0003,35.03828,136.9126153,4,349,http://www.genky.co.jp/shop/cont.php?cont_no=349&g=4&ar=&page=1
愛知県一宮市東五城字篭島39番,AM9:00〜PM9:00,1月1日のみ,0586-64-6190,ゲンキー東五城店,494-0008,35.3062834,136.7488616,4,357,http://www.genky.co.jp/shop/cont.php?cont_no=357&g=4&ar=&page=1
愛知県海部郡蟹江町桜2丁目146番,AM9:00〜PM9:00,1月1日のみ,0567-55-8710,ゲンキー蟹江駅前店,497-0038,35.1431188,136.7980576,4,362,http://www.genky.co.jp/shop/cont.php?cont_no=362&g=4&ar=&page=1
愛知県あま市新居屋鶴田125番,AM9:00〜PM9:00,1月1日のみ,052-462-1690,ゲンキー新居屋西店,490-1105,35.1977237,136.8107712,4,369,http://www.genky.co.jp/shop/cont.php?cont_no=369&g=4&ar=&page=1
愛知県蒲郡市西浦町北馬相24-1,AM9:00〜PM9:00,1月1日のみ,0533-56-7240,ゲンキー西浦店,443-0105,34.787519,137.179618,4,376,http://www.genky.co.jp/shop/cont.php?cont_no=376&g=4&ar=&page=1
愛知県一宮市三条郷南西45-1,AM9:00〜PM9:00,1月1日のみ,0586-82-0270,ゲンキー尾西三条店,494-0003,35.3049352,136.7589117,4,378,http://www.genky.co.jp/shop/cont.php?cont_no=378&g=4&ar=&page=1
愛知県西尾市熊味町道万11-1,AM9:00〜PM9:00,1月1日のみ,0563-65-0060,ゲンキー熊味店,445-0071,34.869039,137.0682473,4,380,http://www.genky.co.jp/shop/cont.php?cont_no=380&g=4&ar=&page=1
愛知県西尾市一色町一色番城39-1,AM9:00〜PM9:00,1月1日のみ,0563-65-5210,ゲンキー一色番城店,444-0423,34.814984,137.0335457,4,382,http://www.genky.co.jp/shop/cont.php?cont_no=382&g=4&ar=&page=1
愛知県知多郡阿久比町植大大坪21,AM9:00〜PM9:00,1月1日のみ,0569-84-0590,ゲンキー植大店,470-2216,34.915843,136.9229173,4,383,http://www.genky.co.jp/shop/cont.php?cont_no=383&g=4&ar=&page=1
愛知県西尾市吉良町吉田八ツ田27,AM9:00〜PM9:00,1月1日のみ,0563-65-3110,ゲンキー吉良吉田店,444-0516,34.7947533,137.0674648,4,386,http://www.genky.co.jp/shop/cont.php?cont_no=386&g=4&ar=&page=1
愛知県西尾市西幡豆町山副12-1,AM9:00〜PM9:00,1月1日のみ,0563-65-2680,ゲンキー西幡豆店,444-0703,34.7950272,137.1139442,4,390,http://www.genky.co.jp/shop/cont.php?cont_no=390&g=4&ar=&page=1
愛知県弥富市平島町五反割56−1,AM9:00〜PM9:00,1月1日のみ,0567-97-3420,ゲンキー平島五反割店,498-0031,35.1116544,136.7425665,4,391,http://www.genky.co.jp/shop/cont.php?cont_no=391&g=4&ar=&page=1
愛知県知多市岡田越地2-1,AM9:00〜PM9:00,1月1日のみ,0562-85-6020,ゲンキー知多岡田店,478-0021,34.9645551,136.8684296,4,395,http://www.genky.co.jp/shop/cont.php?cont_no=395&g=4&ar=&page=1
愛知県岡崎市真伝町寒風15-8,AM9:00〜PM9:00,1月1日のみ,0564-46-1500,ゲンキー真伝町店,444-3174,34.9796669,137.1854955,4,396,http://www.genky.co.jp/shop/cont.php?cont_no=396&g=4&ar=&page=1
愛知県岡崎市福岡町岩ケ崎22-2,AM9:00〜PM9:00,1月1日のみ,0564-73-0390,ゲンキー福岡町店,444-0825,34.9085544,137.1524456,4,399,http://www.genky.co.jp/shop/cont.php?cont_no=399&g=4&ar=&page=1
愛知県蒲郡市拾石町縄手添17,AM9:00〜PM9:00,1月1日のみ,0533-56-8750,ゲンキー拾石店,443-0038,34.8231425,137.2004368,4,400,http://www.genky.co.jp/shop/cont.php?cont_no=400&g=4&ar=&page=2
愛知県春日井市東野町西3丁目11-1,AM9:00〜PM9:00,1月1日のみ,0568-82-1500,ゲンキー東野店,486-0817,35.2702658,136.9817897,4,406,http://www.genky.co.jp/shop/cont.php?cont_no=406&g=4&ar=&page=2
愛知県知多郡美浜町古布屋敷73-8,AM9:00〜PM9:00,1月1日のみ,0569-84-0340,ゲンキー古布店,470-2413,34.7587416,136.9221631,4,408,http://www.genky.co.jp/shop/cont.php?cont_no=408&g=4&ar=&page=2
愛知県津島市一本木町18,AM9:00〜PM9:00,1月1日のみ,0567-97-3670,ゲンキー一本木店,496-0873,35.1804753,136.715536,4,412,http://www.genky.co.jp/shop/cont.php?cont_no=412&g=4&ar=&page=2
愛知県一宮市浅野前林24-3,AM9:00〜PM9:00,1月1日のみ,0586-85-9290,ゲンキー浅野前林店,491-0871,35.2946986,136.8300256,4,416,http://www.genky.co.jp/shop/cont.php?cont_no=416&g=4&ar=&page=2
愛知県愛知県蒲郡市形原町南新田37-1,AM9:00〜PM9:00,1月1日のみ,0533-65-7680,ゲンキー形原店,443-0104,34.8068928,137.1895305,4,419,http://www.genky.co.jp/shop/cont.php?cont_no=419&g=4&ar=&page=2
愛知県稲沢市祖父江町中牧外川219番,AM9:00〜PM9:00,1月1日のみ,0587-96-9720,ゲンキー祖父江四貫店,495-0032,35.2534954,136.7087341,4,424,http://www.genky.co.jp/shop/cont.php?cont_no=424&g=4&ar=&page=2
愛知県豊田市鴻ノ巣4丁目34-1,AM9:00〜PM9:00,1月1日のみ,0565-41-3080,ゲンキー鴻ノ巣店,471-0836,35.0636375,137.1334116,4,425,http://www.genky.co.jp/shop/cont.php?cont_no=425&g=4&ar=&page=2
愛知県岡崎市中島町上町32-1,AM9:00〜PM9:00,1月1日のみ,0564-47-7680,ゲンキー中島上町店,444-0226,34.8856417,137.1220315,4,435,http://www.genky.co.jp/shop/cont.php?cont_no=435&g=4&ar=&page=2
愛知県蒲郡市平田町下長根43-1,AM9:00〜PM9:00,1月1日のみ,0533-95-3850,ゲンキー平田長根店,443-0004,34.8284312,137.2426849,4,438,http://www.genky.co.jp/shop/cont.php?cont_no=438&g=4&ar=&page=2
愛知県蒲郡市大塚町南向山75-2,AM9:00〜PM9:00,1月1日のみ,0533-56-9170,ゲンキー大塚店,443-0013,34.8152749,137.2909155,4,439,http://www.genky.co.jp/shop/cont.php?cont_no=439&g=4&ar=&page=2
愛知県津島市愛宕町七丁目113番,AM9:00〜PM9:00,1月1日のみ,0567-69-4350,ゲンキー愛宕店,496-0036,35.1651904,136.7376785,4,440,http://www.genky.co.jp/shop/cont.php?cont_no=440&g=4&ar=&page=2
愛知県碧南市平七町三丁目83番,AM9:00〜PM9:00,1月1日のみ,0566-93-8530,ゲンキー平七町店,447-0884,34.8733145,136.9952947,4,442,http://www.genky.co.jp/shop/cont.php?cont_no=442&g=4&ar=&page=2
愛知県江南市高屋町御日塚114番1,AM9:00〜PM9:00,1月1日のみ,0587-50-7480,ゲンキー高屋店,483-8084,35.3531893,136.8789538,4,446,http://www.genky.co.jp/shop/cont.php?cont_no=446&g=4&ar=&page=2
愛知県小牧市小牧1丁目243番1,AM9:00〜PM9:00,1月1日のみ,0568-48-1930,ゲンキー小牧市民会館前店,485-0041,35.293339,136.9222168,4,453,http://www.genky.co.jp/shop/cont.php?cont_no=453&g=4&ar=&page=2
愛知県豊川市八幡町東赤土39-1,AM9:00〜PM9:00,1月1日のみ,0533-95-1670,ゲンキー東赤土店,442-0857,34.8406874,137.341834,4,456,http://www.genky.co.jp/shop/cont.php?cont_no=456&g=4&ar=&page=2
愛知県高浜市沢渡町四丁目1番9,AM9:00〜PM9:00,1月1日のみ,0566-93-8808,ゲンキー沢渡店,444-1333,34.9291641,136.9925245,4,458,http://www.genky.co.jp/shop/cont.php?cont_no=458&g=4&ar=&page=2
愛知県碧南市金山町四丁目28番,AM9:00〜PM9:00,1月1日のみ,0566-93-1570,ゲンキー碧南金山店,447-0085,34.9021935,137.0019983,4,461,http://www.genky.co.jp/shop/cont.php?cont_no=461&g=4&ar=&page=2
愛知県一宮市丹陽町九日市場字円之内619番,AM9:00〜PM9:00,1月1日のみ,0586-82-2680,ゲンキー一宮丹陽店,491-0824,35.2730644,136.833447,4,463,http://www.genky.co.jp/shop/cont.php?cont_no=463&g=4&ar=&page=2
愛知県知多郡美浜町大字奥田字石畑328番1,AM9:00〜PM9:00,1月1日のみ,0569-84-7480,ゲンキー奥田店,470-3233,34.7910878,136.8594095,4,465,http://www.genky.co.jp/shop/cont.php?cont_no=465&g=4&ar=&page=2
愛知県田原市古田町エゲノ前181番地,AM9:00〜PM9:00,1月1日のみ,0531-27-7650,ゲンキー福江店,441-3613,34.626374,137.1068413,4,468,http://www.genky.co.jp/shop/cont.php?cont_no=468&g=4&ar=&page=3
愛知県一宮市佐千原字南切野4番4,AM9:00〜PM9:00,1月1日のみ,0586-82-5720,ゲンキー佐千原店,491-0124,35.324139,136.812972,4,472,http://www.genky.co.jp/shop/cont.php?cont_no=472&g=4&ar=&page=3
愛知県一宮市大和町妙興寺字坊ヶ池22番1,AM9:00〜PM9:00,1月1日のみ,0586-82-6260,ゲンキー妙興寺店,491-0922,35.281944,136.805917,4,473,http://www.genky.co.jp/shop/cont.php?cont_no=473&g=4&ar=&page=3
愛知県田原市赤羽根町大辻49番,AM9:00〜PM9:00,1月1日のみ,0531-45-3500,ゲンキー赤羽根店,441-3502,34.614444,137.201556,4,484,http://www.genky.co.jp/shop/cont.php?cont_no=484&g=4&ar=&page=3
愛知県犬山市大字上野弥左畑303番,AM9:00〜PM9:00,1月1日のみ,0568-68-9130,ゲンキー犬山上野店,484-0077,35.372833,136.931444,4,485,http://www.genky.co.jp/shop/cont.php?cont_no=485&g=4&ar=&page=3
愛知県知立市谷田町西長根35番3,AM9:00〜PM9:00,1月1日のみ,0566-95-3180,ゲンキー知立谷田店,472-0013,34.982056,137.055222,4,489,http://www.genky.co.jp/shop/cont.php?cont_no=489&g=4&ar=&page=3
愛知県碧南市道場山町五丁目18番1,AM9:00〜PM9:00,1月1日のみ,0566-91-1580,ゲンキー福清水店,447-0864,34.893139,136.991806,4,490,http://www.genky.co.jp/shop/cont.php?cont_no=490&g=4&ar=&page=3
愛知県一宮市木曽川町黒田九ノ通り164番,AM9:00〜PM9:00,1月1日のみ,0586-82-7870,ゲンキー木曽川インター西店,493-0001,35.343444,136.793389,4,492,http://www.genky.co.jp/shop/cont.php?cont_no=492&g=4&ar=&page=3
愛知県新城市字町並176番,AM9:00〜PM9:00,1月1日のみ,0536-22-9870,ゲンキー町並本町店,441-1374,34.902278,137.499694,4,493,http://www.genky.co.jp/shop/cont.php?cont_no=493&g=4&ar=&page=3
愛知県新城市長篠今銭前16番,AM9:00〜PM9:00,1月1日のみ,0536-32-3911,ゲンキー鳳来長篠店,441-1634,34.926444,137.563194,4,494,http://www.genky.co.jp/shop/cont.php?cont_no=494&g=4&ar=&page=3
愛知県名古屋市港区錦町605番,AM9:00〜PM9:00,1月1日のみ,052-398-5740,ゲンキー稲永錦町店,455-0843,35.087917,136.860778,4,495,http://www.genky.co.jp/shop/cont.php?cont_no=495&g=4&ar=&page=3